day_of_week,time_of_day_seconds,rfid_hold_duration_ms,tof_sample_interval_ms,tof_distance_mm_array
2,83243,0,50,"[129, 79, 41, 48, 33, 33, 38, 32, 32, 32, 28, 36]"
2,83246,0,50,"[179, 114, 94, 62, 42, 39, 31, 34, 34, 32, 37, 27]"
2,83249,0,50,"[148, 99, 53, 37, 40, 27, 36, 32, 33, 34, 35, 32]"
2,83251,0,50,"[137, 78, 52, 37, 29, 38, 29, 36, 36, 32, 34, 36]"
2,83253,0,50,"[167, 112, 67, 39, 50, 36, 37, 33, 31, 33, 29, 36]"
2,83255,0,50,"[205, 150, 103, 70, 46, 44, 30, 38, 33, 31, 32, 33]"
2,83258,0,50,"[171, 115, 74, 43, 37, 46, 35, 32, 39, 32, 38, 32]"
2,83262,0,50,"[143, 79, 47, 45, 33, 39, 41, 34, 34, 36, 30, 35]"
2,83265,0,50,"[152, 97, 52, 37, 29, 36, 31, 32, 34, 33, 37, 37]"
2,83270,0,50,"[114, 70, 50, 55, 46, 42, 30, 34, 34, 39, 38, 32]"
2,83275,0,50,"[88, 49, 33, 32, 41, 35, 38, 28, 33, 31, 33, 33]"
2,83278,0,50,"[35, 32, 31, 35, 33, 34, 31, 35, 37, 31, 34, 31]"
2,83285,0,50,"[130, 90, 57, 49, 37, 46, 33, 30, 36, 37, 33, 33]"
2,83288,0,50,"[114, 75, 51, 37, 45, 47, 44, 36, 31, 32, 30, 36]"
2,83292,0,50,"[55, 43, 41, 32, 32, 34, 36, 36, 35, 32, 35, 34]"
2,83294,0,50,"[77, 46, 39, 44, 30, 36, 26, 36, 33, 32, 35, 39]"
2,83296,0,50,"[67, 48, 47, 41, 35, 33, 31, 34, 33, 36, 34, 33]"
2,83298,0,50,"[97, 64, 43, 43, 50, 36, 31, 36, 31, 36, 37, 33]"
2,83300,0,50,"[97, 63, 44, 39, 44, 34, 37, 36, 31, 33, 33, 34]"
2,83303,0,50,"[139, 62, 40, 49, 38, 35, 33, 31, 30, 36, 29, 31]"
