day_of_week,time_of_day_seconds,rfid_hold_duration_ms,tof_sample_interval_ms,tof_distance_mm_array
3,33932,0,50,"[117, 74, 47, 45, 37, 40, 48, 38, 34, 32, 33, 32]"
3,33937,0,50,"[45, 36, 43, 29, 35, 34, 31, 37, 39, 35, 37, 33]"
3,33940,0,50,"[54, 39, 33, 28, 35, 29, 34, 36, 34, 32, 30, 31]"
3,33944,0,50,"[91, 78, 63, 55, 43, 33, 38, 50, 49, 49, 50, 47, 42, 32, 33, 30]"
3,33946,0,50,"[130, 125, 101, 80, 59, 39, 36, 46, 52, 32, 37, 30]"
3,33949,0,50,"[69, 62, 41, 33, 38, 44, 33, 31, 34, 31, 30, 35]"
3,33952,0,50,"[85, 62, 47, 40, 36, 45, 34, 34, 32, 28, 33, 34]"
3,33955,0,50,"[37, 51, 32, 36, 36, 34, 31, 37, 33, 31, 39, 36]"
3,33957,0,50,"[61, 43, 47, 38, 49, 32, 29, 36, 31, 34, 34, 35]"
3,33960,0,50,"[108, 83, 61, 41, 38, 53, 32, 33, 35, 32, 34, 32]"
3,33963,0,50,"[155, 144, 136, 122, 87, 78, 56, 37, 42, 42, 48, 33, 31, 32]"
3,33966,0,50,"[76, 63, 45, 41, 49, 28, 31, 33, 32, 30, 28, 37]"
3,33970,0,50,"[35, 47, 36, 35, 28, 34, 35, 34, 34, 29, 33, 37]"
3,33972,0,50,"[36, 44, 41, 39, 38, 29, 32, 34, 32, 34, 30, 34]"
3,33976,0,50,"[122, 70, 43, 36, 42, 36, 38, 32, 33, 36, 35, 30]"
3,33978,0,50,"[89, 58, 56, 44, 39, 39, 34, 31, 34, 31, 27, 33]"
3,33981,0,50,"[68, 55, 54, 34, 42, 38, 35, 37, 34, 34, 34, 34]"
3,33988,0,50,"[46, 37, 47, 32, 36, 37, 35, 36, 35, 35, 35, 36]"
3,33990,0,50,"[42, 40, 38, 51, 33, 34, 38, 34, 29, 36, 35, 39]"
3,33994,0,50,"[42, 41, 33, 32, 33, 32, 34, 32, 33, 29, 34, 34]"
