day_of_week,time_of_day_seconds,rfid_hold_duration_ms,tof_sample_interval_ms,tof_distance_mm_array
1,24774,0,50,"[122, 74, 62, 49, 37, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
0,25421,0,50,"[116, 46, 37, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 15, 15, 15, 15]"
0,28572,0,50,"[134, 94, 70, 54, 49, 38, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18]"
3,58542,0,50,"[145, 75, 67, 61, 55, 51, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26]"
6,72311,0,50,"[150, 85, 72, 68, 62, 59, 50, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28]"
5,1934,0,50,"[167, 122, 98, 75, 70, 67, 59, 44, 38, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21]"
6,65389,0,50,"[141, 126, 117, 110, 95, 86, 77, 70, 65, 60, 50, 46, 32, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
2,78257,0,50,"[158, 135, 103, 86, 74, 59, 53, 48, 39, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20]"
0,71942,0,50,"[220, 204, 185, 161, 145, 119, 116, 102, 88, 77, 67, 56, 44, 41, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
1,26583,0,50,"[120, 78, 63, 54, 40, 31, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 15, 15, 15]"
2,71534,0,50,"[159, 117, 78, 63, 50, 43, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18]"
1,75739,0,50,"[145, 126, 113, 96, 79, 72, 62, 49, 41, 37, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21]"
6,67723,0,50,"[144, 107, 92, 77, 70, 63, 57, 42, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27]"
0,67219,0,50,"[113, 42, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 15, 15, 15, 15, 15, 15, 15]"
5,70378,0,50,"[161, 127, 101, 97, 80, 49, 34, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19]"
0,65587,0,50,"[176, 156, 134, 118, 97, 85, 74, 66, 53, 48, 39, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
2,78257,0,50,"[168, 143, 105, 97, 83, 76, 62, 55, 49, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33]"
1,2453,0,50,"[187, 169, 155, 141, 131, 121, 119, 104, 96, 93, 86, 80, 71, 64, 61, 51, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
5,3480,0,50,"[137, 57, 53, 44, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
1,76064,0,50,"[140, 92, 81, 68, 61, 52, 41, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23]"
4,51171,0,50,"[152, 133, 116, 95, 86, 70, 57, 46, 42, 33, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21]"
0,25421,0,50,"[147, 128, 101, 74, 57, 49, 36, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15]"
1,66319,0,50,"[151, 107, 97, 78, 71, 61, 45, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30]"
4,68115,0,50,"[205, 156, 112, 90, 86, 73, 67, 56, 44, 37, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22]"
0,27602,0,50,"[144, 86, 76, 68, 56, 45, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26]"
4,68115,0,50,"[147, 136, 122, 109, 99, 87, 80, 66, 61, 49, 41, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
0,71475,0,50,"[144, 116, 97, 80, 67, 55, 44, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29]"
5,42019,0,50,"[162, 144, 112, 104, 77, 72, 52, 43, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15]"
1,77356,0,50,"[138, 103, 89, 66, 60, 48, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24]"
