day_of_week,time_of_day_seconds,rfid_hold_duration_ms,tof_sample_interval_ms,tof_distance_mm_array
3,58542,0,50,"[137, 78, 52, 37, 29, 38, 29, 36, 36, 32, 34, 36]"
5,71091,0,50,"[129, 79, 41, 48, 33, 33, 38, 32, 32, 32, 28, 36]"
0,25421,0,50,"[152, 97, 52, 37, 29, 36, 31, 32, 34, 33, 37, 37]"
0,63537,0,50,"[143, 79, 47, 45, 33, 39, 41, 34, 34, 36, 30, 35]"
1,28022,0,50,"[143, 79, 47, 45, 33, 39, 41, 34, 34, 36, 30, 35]"
1,66319,0,50,"[167, 112, 67, 39, 50, 36, 37, 33, 31, 33, 29, 36]"
2,72301,0,50,"[137, 78, 52, 37, 29, 38, 29, 36, 36, 32, 34, 36]"
3,28396,0,50,"[97, 64, 43, 43, 50, 36, 31, 36, 31, 36, 37, 33]"
4,652,0,50,"[148, 99, 53, 37, 40, 27, 36, 32, 33, 34, 35, 32]"
5,3480,0,50,"[97, 63, 44, 39, 44, 34, 37, 36, 31, 33, 33, 34]"
6,74392,0,50,"[114, 75, 51, 37, 45, 47, 44, 36, 31, 32, 30, 36]"
0,30243,0,50,"[179, 114, 94, 62, 42, 39, 31, 34, 34, 32, 37, 27]"
0,65570,0,50,"[129, 79, 41, 48, 33, 33, 38, 32, 32, 32, 28, 36]"
1,26941,0,50,"[148, 99, 53, 37, 40, 27, 36, 32, 33, 34, 35, 32]"
1,64270,0,50,"[171, 115, 74, 43, 37, 46, 35, 32, 39, 32, 38, 32]"
2,78257,0,50,"[143, 79, 47, 45, 33, 39, 41, 34, 34, 36, 30, 35]"
3,73760,0,50,"[67, 48, 47, 41, 35, 33, 31, 34, 33, 36, 34, 33]"
4,51171,0,50,"[139, 62, 40, 49, 38, 35, 33, 31, 30, 36, 29, 31]"
6,76966,0,50,"[129, 79, 41, 48, 33, 33, 38, 32, 32, 32, 28, 36]"
0,27884,0,50,"[97, 64, 43, 43, 50, 36, 31, 36, 31, 36, 37, 33]"
0,71942,0,50,"[171, 115, 74, 43, 37, 46, 35, 32, 39, 32, 38, 32]"
1,27664,0,50,"[97, 64, 43, 43, 50, 36, 31, 36, 31, 36, 37, 33]"
1,64157,0,50,"[114, 75, 51, 37, 45, 47, 44, 36, 31, 32, 30, 36]"
2,78057,0,50,"[143, 79, 47, 45, 33, 39, 41, 34, 34, 36, 30, 35]"
3,26412,0,50,"[55, 43, 41, 32, 32, 34, 36, 36, 35, 32, 35, 34]"
3,65653,0,50,"[97, 63, 44, 39, 44, 34, 37, 36, 31, 33, 33, 34]"
4,62395,0,50,"[152, 97, 52, 37, 29, 36, 31, 32, 34, 33, 37, 37]"
0,71475,0,50,"[129, 79, 41, 48, 33, 33, 38, 32, 32, 32, 28, 36]"
1,27245,0,50,"[205, 150, 103, 70, 46, 44, 30, 38, 33, 31, 32, 33]"
1,76064,0,50,"[114, 75, 51, 37, 45, 47, 44, 36, 31, 32, 30, 36]"
2,71534,0,50,"[88, 49, 33, 32, 41, 35, 38, 28, 33, 31, 33, 33]"
3,51254,0,50,"[152, 97, 52, 37, 29, 36, 31, 32, 34, 33, 37, 37]"
6,80114,0,50,"[167, 112, 67, 39, 50, 36, 37, 33, 31, 33, 29, 36]"
0,25938,0,50,"[171, 115, 74, 43, 37, 46, 35, 32, 39, 32, 38, 32]"
0,74535,0,50,"[88, 49, 33, 32, 41, 35, 38, 28, 33, 31, 33, 33]"
1,31095,0,50,"[137, 78, 52, 37, 29, 38, 29, 36, 36, 32, 34, 36]"
1,67967,0,50,"[148, 99, 53, 37, 40, 27, 36, 32, 33, 34, 35, 32]"
2,27191,0,50,"[130, 90, 57, 49, 37, 46, 33, 30, 36, 37, 33, 33]"
2,68354,0,50,"[137, 78, 52, 37, 29, 38, 29, 36, 36, 32, 34, 36]"
3,26058,0,50,"[35, 32, 31, 35, 33, 34, 31, 35, 37, 31, 34, 31]"
3,64506,0,50,"[35, 32, 31, 35, 33, 34, 31, 35, 37, 31, 34, 31]"
4,26466,0,50,"[139, 62, 40, 49, 38, 35, 33, 31, 30, 36, 29, 31]"
4,68115,0,50,"[152, 97, 52, 37, 29, 36, 31, 32, 34, 33, 37, 37]"
5,44114,0,50,"[179, 114, 94, 62, 42, 39, 31, 34, 34, 32, 37, 27]"
5,71748,0,50,"[55, 43, 41, 32, 32, 34, 36, 36, 35, 32, 35, 34]"
6,41881,0,50,"[97, 64, 43, 43, 50, 36, 31, 36, 31, 36, 37, 33]"
6,75841,0,50,"[137, 78, 52, 37, 29, 38, 29, 36, 36, 32, 34, 36]"
0,27965,0,50,"[130, 90, 57, 49, 37, 46, 33, 30, 36, 37, 33, 33]"
0,74290,0,50,"[148, 99, 53, 37, 40, 27, 36, 32, 33, 34, 35, 32]"
1,24827,0,50,"[97, 64, 43, 43, 50, 36, 31, 36, 31, 36, 37, 33]"
1,66961,0,50,"[114, 70, 50, 55, 46, 42, 30, 34, 34, 39, 38, 32]"
2,26047,0,50,"[139, 62, 40, 49, 38, 35, 33, 31, 30, 36, 29, 31]"
3,105,0,50,"[35, 32, 31, 35, 33, 34, 31, 35, 37, 31, 34, 31]"
3,63129,0,50,"[97, 63, 44, 39, 44, 34, 37, 36, 31, 33, 33, 34]"
5,82672,0,50,"[171, 115, 74, 43, 37, 46, 35, 32, 39, 32, 38, 32]"
0,27950,0,50,"[148, 99, 53, 37, 40, 27, 36, 32, 33, 34, 35, 32]"
0,63919,0,50,"[179, 114, 94, 62, 42, 39, 31, 34, 34, 32, 37, 27]"
1,27410,0,50,"[143, 79, 47, 45, 33, 39, 41, 34, 34, 36, 30, 35]"
1,75739,0,50,"[114, 70, 50, 55, 46, 42, 30, 34, 34, 39, 38, 32]"
2,27104,0,50,"[148, 99, 53, 37, 40, 27, 36, 32, 33, 34, 35, 32]"
2,68454,0,50,"[143, 79, 47, 45, 33, 39, 41, 34, 34, 36, 30, 35]"
3,56057,0,50,"[137, 78, 52, 37, 29, 38, 29, 36, 36, 32, 34, 36]"
6,63541,0,50,"[130, 90, 57, 49, 37, 46, 33, 30, 36, 37, 33, 33]"
0,25133,0,50,"[152, 97, 52, 37, 29, 36, 31, 32, 34, 33, 37, 37]"
0,66824,0,50,"[55, 43, 41, 32, 32, 34, 36, 36, 35, 32, 35, 34]"
1,77356,0,50,"[35, 32, 31, 35, 33, 34, 31, 35, 37, 31, 34, 31]"
2,27857,0,50,"[205, 150, 103, 70, 46, 44, 30, 38, 33, 31, 32, 33]"
2,66134,0,50,"[35, 32, 31, 35, 33, 34, 31, 35, 37, 31, 34, 31]"
3,63615,0,50,"[35, 32, 31, 35, 33, 34, 31, 35, 37, 31, 34, 31]"
4,26409,0,50,"[171, 115, 74, 43, 37, 46, 35, 32, 39, 32, 38, 32]"
4,67008,0,50,"[152, 97, 52, 37, 29, 36, 31, 32, 34, 33, 37, 37]"
6,45908,0,50,"[148, 99, 53, 37, 40, 27, 36, 32, 33, 34, 35, 32]"
6,72311,0,50,"[139, 62, 40, 49, 38, 35, 33, 31, 30, 36, 29, 31]"
0,27602,0,50,"[205, 150, 103, 70, 46, 44, 30, 38, 33, 31, 32, 33]"
0,75842,0,50,"[97, 64, 43, 43, 50, 36, 31, 36, 31, 36, 37, 33]"
1,25211,0,50,"[143, 79, 47, 45, 33, 39, 41, 34, 34, 36, 30, 35]"
1,65578,0,50,"[205, 150, 103, 70, 46, 44, 30, 38, 33, 31, 32, 33]"
2,27320,0,50,"[55, 43, 41, 32, 32, 34, 36, 36, 35, 32, 35, 34]"
