day_of_week,time_of_day_seconds,rfid_hold_duration_ms,tof_sample_interval_ms,tof_distance_mm_array
0,31406,0,50,"[68, 55, 54, 34, 42, 38, 35, 37, 34, 34, 34, 34]"
2,59579,0,50,"[61, 43, 47, 38, 49, 32, 29, 36, 31, 34, 34, 35]"
5,81324,0,50,"[46, 37, 47, 32, 36, 37, 35, 36, 35, 35, 35, 36]"
1,69482,0,50,"[117, 74, 47, 45, 37, 40, 48, 38, 34, 32, 33, 32]"
0,27107,0,50,"[91, 78, 63, 55, 43, 33, 38, 50, 49, 49, 50, 47, 42, 32, 33, 30]"
3,20937,0,50,"[46, 37, 47, 32, 36, 37, 35, 36, 35, 35, 35, 36]"
2,77283,0,50,"[61, 43, 47, 38, 49, 32, 29, 36, 31, 34, 34, 35]"
3,33215,0,50,"[155, 144, 136, 122, 87, 78, 56, 37, 42, 42, 48, 33, 31, 32]"
5,52093,0,50,"[91, 78, 63, 55, 43, 33, 38, 50, 49, 49, 50, 47, 42, 32, 33, 30]"
6,64516,0,50,"[108, 83, 61, 41, 38, 53, 32, 33, 35, 32, 34, 32]"
5,61861,0,50,"[36, 44, 41, 39, 38, 29, 32, 34, 32, 34, 30, 34]"
2,69754,0,50,"[69, 62, 41, 33, 38, 44, 33, 31, 34, 31, 30, 35]"
6,38185,0,50,"[122, 70, 43, 36, 42, 36, 38, 32, 33, 36, 35, 30]"
4,60707,0,50,"[117, 74, 47, 45, 37, 40, 48, 38, 34, 32, 33, 32]"
1,74972,0,50,"[61, 43, 47, 38, 49, 32, 29, 36, 31, 34, 34, 35]"
2,63624,0,50,"[68, 55, 54, 34, 42, 38, 35, 37, 34, 34, 34, 34]"
2,79347,0,50,"[69, 62, 41, 33, 38, 44, 33, 31, 34, 31, 30, 35]"
1,65358,0,50,"[68, 55, 54, 34, 42, 38, 35, 37, 34, 34, 34, 34]"
1,17504,0,50,"[91, 78, 63, 55, 43, 33, 38, 50, 49, 49, 50, 47, 42, 32, 33, 30]"
0,72518,0,50,"[108, 83, 61, 41, 38, 53, 32, 33, 35, 32, 34, 32]"
1,70930,0,50,"[68, 55, 54, 34, 42, 38, 35, 37, 34, 34, 34, 34]"
3,3548,0,50,"[42, 41, 33, 32, 33, 32, 34, 32, 33, 29, 34, 34]"
0,69188,0,50,"[85, 62, 47, 40, 36, 45, 34, 34, 32, 28, 33, 34]"
6,68281,0,50,"[130, 125, 101, 80, 59, 39, 36, 46, 52, 32, 37, 30]"
0,76165,0,50,"[76, 63, 45, 41, 49, 28, 31, 33, 32, 30, 28, 37]"
2,24972,0,50,"[69, 62, 41, 33, 38, 44, 33, 31, 34, 31, 30, 35]"
0,77694,0,50,"[46, 37, 47, 32, 36, 37, 35, 36, 35, 35, 35, 36]"
3,29958,0,50,"[68, 55, 54, 34, 42, 38, 35, 37, 34, 34, 34, 34]"
3,21109,0,50,"[117, 74, 47, 45, 37, 40, 48, 38, 34, 32, 33, 32]"
0,68727,0,50,"[42, 41, 33, 32, 33, 32, 34, 32, 33, 29, 34, 34]"
4,858,0,50,"[155, 144, 136, 122, 87, 78, 56, 37, 42, 42, 48, 33, 31, 32]"
3,59585,0,50,"[89, 58, 56, 44, 39, 39, 34, 31, 34, 31, 27, 33]"
4,61915,0,50,"[117, 74, 47, 45, 37, 40, 48, 38, 34, 32, 33, 32]"
1,63539,0,50,"[91, 78, 63, 55, 43, 33, 38, 50, 49, 49, 50, 47, 42, 32, 33, 30]"
6,82993,0,50,"[76, 63, 45, 41, 49, 28, 31, 33, 32, 30, 28, 37]"
5,82537,0,50,"[108, 83, 61, 41, 38, 53, 32, 33, 35, 32, 34, 32]"
2,60167,0,50,"[37, 51, 32, 36, 36, 34, 31, 37, 33, 31, 39, 36]"
6,80186,0,50,"[45, 36, 43, 29, 35, 34, 31, 37, 39, 35, 37, 33]"
1,60573,0,50,"[37, 51, 32, 36, 36, 34, 31, 37, 33, 31, 39, 36]"
2,73566,0,50,"[42, 40, 38, 51, 33, 34, 38, 34, 29, 36, 35, 39]"
0,69680,0,50,"[54, 39, 33, 28, 35, 29, 34, 36, 34, 32, 30, 31]"
5,47701,0,50,"[54, 39, 33, 28, 35, 29, 34, 36, 34, 32, 30, 31]"
2,34300,0,50,"[89, 58, 56, 44, 39, 39, 34, 31, 34, 31, 27, 33]"
1,68019,0,50,"[54, 39, 33, 28, 35, 29, 34, 36, 34, 32, 30, 31]"
6,48298,0,50,"[46, 37, 47, 32, 36, 37, 35, 36, 35, 35, 35, 36]"
