day_of_week,time_of_day_seconds,rfid_hold_duration_ms,tof_sample_interval_ms,tof_distance_mm_array
3,58542,1850,50,"[520, 483, 451, 407, 385, 348, 319, 289, 261, 242, 215, 199, 171, 154, 146, 122, 114, 96, 87, 84, 74, 65, 60, 61, 47, 55, 50, 44, 47, 47, 46, 46]"
5,71091,2269,50,"[463, 431, 407, 386, 356, 327, 312, 292, 266, 253, 233, 211, 196, 188, 176, 158, 147, 127, 116, 118, 100, 92, 91, 84, 80, 69, 65, 60, 52, 57, 53, 52, 53, 57, 58, 57, 56, 59, 55, 56]"
0,25421,2164,50,"[476, 454, 415, 394, 371, 342, 316, 298, 279, 257, 229, 212, 204, 181, 160, 151, 136, 116, 116, 103, 93, 88, 77, 68, 60, 52, 38, 37, 38, 40, 31, 28, 35, 31, 30, 37, 33, 33, 34, 32]"
0,63537,2206,50,"[536, 510, 477, 451, 422, 389, 370, 348, 321, 298, 272, 254, 237, 215, 203, 188, 169, 151, 141, 130, 122, 120, 106, 101, 88, 87, 73, 70, 68, 65, 58, 61, 61, 54, 62, 60, 61, 61, 60]"
1,28022,2162,50,"[415, 397, 376, 356, 332, 308, 290, 271, 253, 227, 213, 197, 184, 165, 150, 142, 127, 118, 112, 100, 91, 85, 80, 76, 71, 60, 55, 64, 56, 54, 55, 58, 53, 52, 51, 52, 50, 54]"
1,66319,1898,50,"[557, 521, 490, 439, 413, 375, 351, 318, 291, 265, 246, 220, 194, 175, 149, 140, 123, 108, 101, 91, 82, 65, 60, 61, 54, 46, 48, 46, 42, 46, 43, 41, 44, 41]"
2,72301,2294,50,"[421, 394, 375, 349, 322, 303, 278, 251, 235, 212, 208, 188, 169, 151, 137, 124, 107, 101, 92, 91, 76, 74, 70, 54, 50, 45, 44, 28, 33, 34, 33, 31, 33, 32, 33, 35, 35, 33]"
3,28396,1919,50,"[468, 434, 408, 362, 338, 313, 294, 257, 238, 209, 196, 167, 154, 144, 122, 107, 96, 86, 74, 63, 62, 49, 40, 41, 41, 32, 30, 21, 25, 29, 31, 31, 31]"
4,652,2689,50,"[507, 486, 467, 434, 421, 399, 367, 356, 339, 320, 297, 277, 259, 242, 227, 211, 196, 189, 167, 168, 148, 137, 125, 123, 106, 103, 102, 82, 79, 69, 71, 67, 61, 60, 52, 51, 45, 45, 46, 50, 50, 48, 48, 51, 49, 50, 49]"
5,3480,2026,50,"[514, 475, 442, 411, 388, 351, 324, 299, 274, 250, 231, 202, 182, 167, 145, 130, 118, 99, 90, 87, 73, 70, 56, 52, 43, 37, 37, 34, 34, 24, 33, 33, 32, 33, 35]"
6,74392,1950,50,"[459, 422, 384, 357, 320, 295, 268, 235, 217, 198, 176, 160, 135, 125, 111, 95, 85, 72, 63, 49, 54, 47, 48, 39, 43, 41, 36, 36, 38, 34, 38, 36]"
0,30243,1433,50,"[403, 372, 334, 299, 272, 227, 209, 178, 152, 137, 116, 96, 78, 75, 67, 52, 55, 47, 49, 50, 42, 47, 44, 47, 43]"
0,65570,1878,50,"[432, 403, 369, 331, 300, 279, 251, 222, 202, 185, 160, 144, 132, 107, 91, 89, 74, 70, 63, 58, 50, 49, 42, 42, 40, 41, 42, 44, 42, 41, 40]"
1,26941,2028,50,"[487, 448, 422, 390, 364, 334, 308, 288, 267, 244, 217, 206, 181, 162, 149, 141, 125, 105, 110, 93, 83, 77, 73, 64, 62, 60, 63, 52, 58, 64, 62, 62, 61, 60, 61, 59]"
1,64270,1808,50,"[431, 403, 363, 346, 319, 293, 267, 242, 222, 206, 190, 169, 148, 133, 122, 109, 101, 84, 81, 72, 69, 71, 59, 61, 62, 58, 59, 60, 57, 60, 60, 59]"
2,78257,1974,50,"[504, 459, 429, 391, 354, 336, 308, 269, 244, 225, 195, 177, 160, 139, 127, 106, 102, 93, 75, 65, 59, 57, 50, 47, 42, 43, 50, 43, 45, 47, 45, 44, 46, 50]"
