day_of_week,time_of_day_seconds,rfid_hold_duration_ms,tof_sample_interval_ms,tof_distance_mm_array
3,25716,1778,50,"[491, 457, 421, 390, 357, 329, 300, 280, 252, 226, 207, 192, 164, 152, 129, 118, 103, 98, 83, 75, 74, 57, 44, 48, 39, 33, 32, 30, 31, 37, 36, 39, 37]"
3,64548,2428,50,"[496, 480, 448, 430, 402, 383, 362, 337, 323, 306, 290, 263, 246, 239, 215, 204, 183, 177, 165, 160, 140, 126, 115, 110, 104, 97, 82, 68, 78, 64, 62, 57, 39, 41, 35, 33, 33, 36, 31, 30, 41, 35, 36, 34, 34, 34]"
4,26212,2272,50,"[542, 520, 486, 461, 432, 406, 387, 362, 337, 317, 291, 270, 254, 227, 221, 208, 186, 173, 156, 145, 136, 122, 118, 114, 88, 84, 76, 60, 57, 46, 47, 46, 42, 39, 39, 32, 33, 26, 35, 33, 31, 31, 36]"
4,66074,2328,50,"[445, 425, 402, 376, 356, 331, 322, 296, 278, 257, 237, 222, 210, 198, 186, 161, 153, 142, 131, 128, 114, 103, 86, 82, 79, 72, 68, 49, 55, 49, 38, 36, 42, 33, 32, 28, 36, 26, 39, 33, 35, 30, 34]"
5,33416,1552,50,"[496, 449, 419, 367, 342, 315, 289, 246, 228, 196, 178, 156, 138, 121, 102, 101, 88, 81, 65, 61, 63, 51, 62, 54, 52, 53, 53]"
5,70263,1879,50,"[525, 494, 457, 421, 398, 364, 329, 298, 267, 242, 217, 197, 182, 165, 149, 123, 113, 99, 94, 85, 72, 67, 65, 50, 52, 51, 49, 39, 46, 48, 47, 46, 48, 46]"
6,33379,1702,50,"[462, 428, 398, 371, 337, 304, 291, 262, 243, 216, 194, 176, 163, 145, 133, 121, 109, 96, 85, 77, 70, 69, 57, 61, 55, 52, 46, 53, 50, 51, 51]"
6,69304,2132,50,"[485, 451, 425, 403, 375, 347, 319, 310, 284, 262, 233, 229, 203, 184, 175, 158, 143, 136, 117, 116, 103, 91, 87, 83, 67, 67, 67, 66, 56, 52, 47, 49, 51, 48, 47, 45, 45, 48, 48]"
0,26477,2358,50,"[509, 486, 461, 434, 414, 392, 368, 347, 328, 301, 283, 266, 241, 227, 211, 195, 187, 167, 159, 148, 136, 121, 117, 105, 98, 87, 80, 69, 58, 64, 51, 48, 50, 50, 47, 46, 41, 43, 44, 40, 37, 38, 37, 38]"
0,65324,1894,50,"[439, 400, 368, 344, 313, 291, 265, 230, 212, 195, 174, 150, 132, 113, 99, 102, 82, 67, 62, 54, 45, 37, 39, 36, 35, 24, 27, 27, 27, 29, 30, 30, 28]"
1,26240,2278,50,"[467, 434, 414, 396, 369, 347, 334, 303, 289, 264, 248, 236, 210, 202, 188, 170, 160, 148, 141, 138, 116, 105, 106, 84, 87, 78, 64, 71, 65, 53, 48, 49, 49, 41, 36, 42, 40, 45, 37, 34, 34, 33]"
1,64703,1755,50,"[440, 413, 380, 349, 324, 295, 268, 243, 219, 196, 180, 163, 135, 124, 114, 98, 92, 77, 75, 54, 54, 53, 48, 47, 43, 45, 39, 42, 41, 44, 42, 39]"
2,25434,2452,50,"[525, 510, 484, 455, 433, 399, 379, 365, 329, 312, 285, 270, 257, 236, 212, 200, 187, 171, 162, 144, 130, 120, 116, 95, 92, 83, 73, 66, 63, 58, 44, 41, 30, 29, 28, 33, 36, 36, 30, 34, 29, 29, 26, 25, 30, 29]"
2,66408,1909,50,"[472, 448, 420, 384, 356, 327, 302, 278, 258, 232, 207, 194, 170, 159, 142, 125, 118, 103, 98, 90, 81, 79, 71, 59, 72, 56, 53, 48, 47, 53, 55, 53, 54, 53, 54]"
3,27099,1541,50,"[444, 408, 368, 339, 314, 285, 260, 225, 203, 188, 163, 147, 128, 108, 108, 89, 90, 75, 70, 69, 68, 57, 58, 60, 53, 52, 53, 50]"
